"foot:inch" "air:puff" "page:paragraph" "pie:slices" "page:paragraph" "pie:slices"
"scene:movie" "feet:inches" "instant:nanosecond" "poem:verses" "instant:nanosecond" "poem:verses"
"pound:ounce" "soup:spoonful" "state:county" "gallon:quart" "pound:ounce" "state:county"
"week:day" "school:student" "day:week" "thread:snip" "week:day" "school:student"
"dollar:coins" "seconds:hour" "chain:link" "earthworm:segment" "chain:link" "seconds:hour"
"book:chapter" "hour:seconds" "symphony:movements" "cake:slice" "book:chapter" "hour:seconds"
"body:cell" "book:chapters" "hive:bee" "book:pages" "body:cell" "book:pages"
"pizza:slice" "cloth:fibers" "country:city" "blood:droplets" "cloth:fibers" "blood:droplets"
"chapter:page" "cell:body" "droplets:blood" "movie:scene" "movie:scene" "droplets:blood"
"book:page" "quarter:pennies" "song:notes" "gallon:ounce" "book:page" "gallon:ounce"
"forest:tree" "train:car" "quilt:squares" "school:student" "school:student" "train:car"
"symphony:movements" "gallon:quart" "gallon:ounce" "chain:link" "gallon:ounce" "chain:link"
"pizza:slice" "cloth:fibers" "instant:nanosecond" "pound:ounce" "cloth:fibers" "instant:nanosecond"
"train:car" "hive:bee" "book:chapter" "pie:slices" "book:chapter" "pie:slices"
"hour:seconds" "body:cell" "cake:slice" "day:week" "body:cell" "hour:seconds"
"foot:inch" "thread:snip" "air:puff" "book:chapters" "thread:snip" "air:puff"
"earthworm:segment" "cell:body" "chapter:page" "blood:droplets" "blood:droplets" "chapter:page"
"feet:inches" "dollar:coins" "droplets:blood" "seconds:hour" "droplets:blood" "seconds:hour"
"page:paragraph" "book:pages" "country:city" "forest:tree" "country:city" "book:pages"
"movie:scene" "scene:movie" "poem:verses" "state:county" "movie:scene" "poem:verses"
"book:page" "week:day" "soup:spoonful" "quarter:pennies" "book:page" "week:day"
"song:notes" "quilt:squares" "pound:ounce" "body:cell" "body:cell" "pound:ounce"
"chain:link" "song:notes" "droplets:blood" "book:chapter" "book:chapter" "droplets:blood"
"air:puff" "gallon:ounce" "dollar:coins" "earthworm:segment" "gallon:ounce" "air:puff"
"thread:snip" "quilt:squares" "chapter:page" "hour:seconds" "hour:seconds" "chapter:page"
"cake:slice" "state:county" "instant:nanosecond" "page:paragraph" "instant:nanosecond" "state:county"
"gallon:quart" "hive:bee" "foot:inch" "country:city" "country:city" "gallon:quart"
"book:chapters" "scene:movie" "cloth:fibers" "pie:slices" "cloth:fibers" "scene:movie"
"day:week" "feet:inches" "soup:spoonful" "book:pages" "day:week" "book:pages"
"blood:droplets" "forest:tree" "quarter:pennies" "movie:scene" "blood:droplets" "movie:scene"
"week:day" "cell:body" "pizza:slice" "train:car" "week:day" "cell:body"
"book:page" "school:student" "symphony:movements" "poem:verses" "book:page" "school:student"
"seconds:hour" "hive:bee" "state:county" "earthworm:segment" "state:county" "seconds:hour"
"dollar:coins" "book:page" "cake:slice" "hour:seconds" "hour:seconds" "book:page"
"school:student" "gallon:quart" "book:pages" "foot:inch" "school:student" "book:pages"
"cloth:fibers" "movie:scene" "train:car" "droplets:blood" "cloth:fibers" "movie:scene"
"blood:droplets" "country:city" "pie:slices" "thread:snip" "blood:droplets" "country:city"
"air:puff" "quarter:pennies" "soup:spoonful" "week:day" "week:day" "air:puff"
"cell:body" "chain:link" "feet:inches" "gallon:ounce" "gallon:ounce" "chain:link"
"page:paragraph" "chapter:page" "scene:movie" "seconds:hour" "chapter:page" "scene:movie"
"pound:ounce" "forest:tree" "book:chapter" "symphony:movements" "book:chapter" "pound:ounce"
"body:cell" "quilt:squares" "poem:verses" "instant:nanosecond" "body:cell" "instant:nanosecond"
"song:notes" "day:week" "pizza:slice" "book:chapters" "day:week" "song:notes"
"week:day" "movie:scene" "pound:ounce" "feet:inches" "movie:scene" "week:day"
"cloth:fibers" "train:car" "earthworm:segment" "gallon:quart" "cloth:fibers" "train:car"
"droplets:blood" "book:page" "soup:spoonful" "dollar:coins" "book:page" "droplets:blood"
"instant:nanosecond" "pizza:slice" "body:cell" "foot:inch" "body:cell" "instant:nanosecond"
"cake:slice" "chapter:page" "chain:link" "forest:tree" "chapter:page" "chain:link"
"book:pages" "pie:slices" "gallon:ounce" "cell:body" "gallon:ounce" "book:pages"
"seconds:hour" "state:county" "thread:snip" "country:city" "country:city" "state:county"
"air:puff" "book:chapter" "scene:movie" "book:chapters" "book:chapter" "scene:movie"
"school:student" "blood:droplets" "poem:verses" "song:notes" "blood:droplets" "school:student"
"day:week" "hour:seconds" "page:paragraph" "symphony:movements" "hour:seconds" "day:week"
"quilt:squares" "hive:bee" "quarter:pennies" "state:county" "state:county" "quilt:squares"
"gallon:ounce" "pizza:slice" "cloth:fibers" "gallon:quart" "cloth:fibers" "gallon:ounce"
"book:pages" "day:week" "pound:ounce" "body:cell" "body:cell" "pound:ounce"
"quilt:squares" "chain:link" "foot:inch" "hive:bee" "chain:link" "quilt:squares"
"cell:body" "train:car" "feet:inches" "air:puff" "cell:body" "train:car"
"forest:tree" "book:chapter" "scene:movie" "instant:nanosecond" "book:chapter" "instant:nanosecond"
"quarter:pennies" "symphony:movements" "thread:snip" "earthworm:segment" "symphony:movements" "thread:snip"
"song:notes" "page:paragraph" "soup:spoonful" "movie:scene" "movie:scene" "page:paragraph"
"book:page" "school:student" "hour:seconds" "poem:verses" "hour:seconds" "book:page"
"dollar:coins" "country:city" "week:day" "blood:droplets" "blood:droplets" "country:city"
"cake:slice" "seconds:hour" "chapter:page" "droplets:blood" "droplets:blood" "chapter:page"
"book:chapters" "pie:slices" "hive:bee" "blood:droplets" "blood:droplets" "pie:slices"
"week:day" "book:pages" "cake:slice" "country:city" "country:city" "week:day"
"hour:seconds" "quilt:squares" "pizza:slice" "quarter:pennies" "hour:seconds" "quilt:squares"
"body:cell" "gallon:quart" "scene:movie" "droplets:blood" "body:cell" "droplets:blood"
"book:chapters" "dollar:coins" "book:chapter" "school:student" "book:chapter" "school:student"
"song:notes" "earthworm:segment" "cloth:fibers" "thread:snip" "cloth:fibers" "song:notes"
"air:puff" "state:county" "day:week" "page:paragraph" "state:county" "day:week"
