"fridge:appliance" "home:tree" "nourishment:banana" "seat:chair" "seat:chair" "fridge:appliance"
"clothing:sock" "sock:clothing" "fuel:gasoline" "meat:ham" "sock:clothing" "fuel:gasoline"
"fork:utensil" "shoe:sandal" "utensil:spoon" "clothing:shirt" "clothing:shirt" "shoe:sandal"
"apple:food" "animal:dog" "instrument:clarinet" "appliance:fridge" "apple:food" "appliance:fridge"
"seasoning:pepper" "beverage:water" "chisel:tool" "artwork:sculpture" "chisel:tool" "artwork:sculpture"
"vegetable:spinach" "tool:hammer" "food:apple" "movie:comedy" "movie:comedy" "tool:hammer"
"vessel:pot" "dish:plate" "transportation:bus" "furniture:chair" "furniture:chair" "transportation:bus"
"instrument:violin" "garment:skirt" "person:girl" "tool:chisel" "tool:chisel" "garment:skirt"
"lubricant:oil" "seat:stool" "garment:shirt" "tool:screwdriver" "lubricant:oil" "seat:stool"
"cat:animal" "fruit:apple" "preservative:salt" "girl:person" "fruit:apple" "preservative:salt"
"chair:furniture" "garment:shirt" "home:tree" "seasoning:pepper" "chair:furniture" "seasoning:pepper"
"chisel:tool" "seat:chair" "transportation:bus" "preservative:salt" "seat:chair" "preservative:salt"
"apple:food" "beverage:water" "chair:furniture" "seat:stool" "apple:food" "seat:stool"
"nourishment:banana" "vessel:pot" "lubricant:oil" "girl:person" "lubricant:oil" "vessel:pot"
"instrument:clarinet" "fruit:apple" "person:girl" "tool:chisel" "fruit:apple" "tool:chisel"
"clothing:shirt" "movie:comedy" "utensil:spoon" "fridge:appliance" "movie:comedy" "clothing:shirt"
"shoe:sandal" "appliance:fridge" "furniture:chair" "food:apple" "appliance:fridge" "shoe:sandal"
"fuel:gasoline" "dish:plate" "animal:dog" "tool:hammer" "animal:dog" "tool:hammer"
"fork:utensil" "instrument:violin" "meat:ham" "vegetable:spinach" "vegetable:spinach" "meat:ham"
"tool:screwdriver" "cat:animal" "garment:skirt" "sock:clothing" "sock:clothing" "garment:skirt"
"clothing:sock" "artwork:sculpture" "cat:animal" "instrument:violin" "artwork:sculpture" "clothing:sock"
"seat:chair" "movie:comedy" "sock:clothing" "chair:furniture" "seat:chair" "movie:comedy"
"tool:chisel" "garment:skirt" "transportation:bus" "girl:person" "tool:chisel" "garment:skirt"
"furniture:chair" "preservative:salt" "tool:hammer" "fork:utensil" "tool:hammer" "furniture:chair"
"nourishment:banana" "person:girl" "lubricant:oil" "fridge:appliance" "lubricant:oil" "fridge:appliance"
"animal:dog" "meat:ham" "beverage:water" "food:apple" "animal:dog" "meat:ham"
"home:tree" "utensil:spoon" "clothing:sock" "instrument:clarinet" "utensil:spoon" "clothing:sock"
"tool:screwdriver" "vessel:pot" "appliance:fridge" "shoe:sandal" "appliance:fridge" "shoe:sandal"
"chisel:tool" "garment:shirt" "fruit:apple" "seat:stool" "fruit:apple" "chisel:tool"
"seasoning:pepper" "vegetable:spinach" "fuel:gasoline" "clothing:shirt" "clothing:shirt" "fuel:gasoline"
"apple:food" "artwork:sculpture" "dish:plate" "chisel:tool" "apple:food" "chisel:tool"
"seat:chair" "apple:food" "clothing:sock" "preservative:salt" "seat:chair" "apple:food"
"clothing:shirt" "vessel:pot" "garment:skirt" "cat:animal" "clothing:shirt" "garment:skirt"
"tool:hammer" "fuel:gasoline" "girl:person" "sock:clothing" "tool:hammer" "sock:clothing"
"fruit:apple" "person:girl" "furniture:chair" "instrument:violin" "furniture:chair" "fruit:apple"
"seat:stool" "dish:plate" "fridge:appliance" "transportation:bus" "transportation:bus" "seat:stool"
"nourishment:banana" "fork:utensil" "vegetable:spinach" "movie:comedy" "movie:comedy" "vegetable:spinach"
"garment:shirt" "utensil:spoon" "artwork:sculpture" "meat:ham" "utensil:spoon" "artwork:sculpture"
"appliance:fridge" "chair:furniture" "home:tree" "tool:screwdriver" "appliance:fridge" "tool:screwdriver"
"instrument:clarinet" "tool:chisel" "lubricant:oil" "food:apple" "tool:chisel" "instrument:clarinet"
"beverage:water" "seasoning:pepper" "animal:dog" "shoe:sandal" "animal:dog" "shoe:sandal"
"utensil:spoon" "fridge:appliance" "garment:shirt" "lubricant:oil" "utensil:spoon" "lubricant:oil"
"preservative:salt" "fuel:gasoline" "instrument:violin" "home:tree" "preservative:salt" "fuel:gasoline"
"fork:utensil" "seat:stool" "instrument:clarinet" "artwork:sculpture" "artwork:sculpture" "instrument:clarinet"
"beverage:water" "girl:person" "clothing:sock" "transportation:bus" "clothing:sock" "transportation:bus"
"dish:plate" "movie:comedy" "sock:clothing" "person:girl" "movie:comedy" "sock:clothing"
"vegetable:spinach" "garment:skirt" "nourishment:banana" "animal:dog" "animal:dog" "garment:skirt"
"tool:hammer" "clothing:shirt" "chair:furniture" "food:apple" "clothing:shirt" "tool:hammer"
"apple:food" "tool:chisel" "seat:chair" "cat:animal" "seat:chair" "apple:food"
"chisel:tool" "tool:screwdriver" "appliance:fridge" "furniture:chair" "appliance:fridge" "furniture:chair"
"seasoning:pepper" "fruit:apple" "meat:ham" "vessel:pot" "fruit:apple" "meat:ham"
"shoe:sandal" "garment:skirt" "tool:screwdriver" "fruit:apple" "shoe:sandal" "fruit:apple"
"meat:ham" "vegetable:spinach" "girl:person" "utensil:spoon" "utensil:spoon" "vegetable:spinach"
"food:apple" "seasoning:pepper" "tool:chisel" "home:tree" "tool:chisel" "food:apple"
"movie:comedy" "instrument:violin" "seat:chair" "apple:food" "seat:chair" "movie:comedy"
"vessel:pot" "appliance:fridge" "cat:animal" "garment:shirt" "appliance:fridge" "cat:animal"
"transportation:bus" "tool:hammer" "instrument:clarinet" "fridge:appliance" "tool:hammer" "instrument:clarinet"
"shoe:sandal" "chair:furniture" "nourishment:banana" "preservative:salt" "shoe:sandal" "preservative:salt"
"fork:utensil" "dish:plate" "beverage:water" "clothing:sock" "clothing:sock" "fork:utensil"
"seat:stool" "sock:clothing" "artwork:sculpture" "fuel:gasoline" "sock:clothing" "fuel:gasoline"
"chisel:tool" "lubricant:oil" "clothing:shirt" "animal:dog" "clothing:shirt" "animal:dog"
"person:girl" "furniture:chair" "instrument:violin" "apple:food" "apple:food" "furniture:chair"
"preservative:salt" "furniture:chair" "vegetable:spinach" "utensil:spoon" "furniture:chair" "utensil:spoon"
"transportation:bus" "garment:skirt" "appliance:fridge" "fork:utensil" "appliance:fridge" "garment:skirt"
"tool:screwdriver" "cat:animal" "beverage:water" "tool:hammer" "tool:hammer" "cat:animal"
"lubricant:oil" "clothing:sock" "animal:dog" "fuel:gasoline" "animal:dog" "fuel:gasoline"
"instrument:clarinet" "sock:clothing" "vessel:pot" "fridge:appliance" "sock:clothing" "instrument:clarinet"
"person:girl" "shoe:sandal" "fruit:apple" "seat:chair" "seat:chair" "shoe:sandal"
"meat:ham" "clothing:shirt" "tool:chisel" "chisel:tool" "clothing:shirt" "chisel:tool"
"dish:plate" "seat:stool" "movie:comedy" "seasoning:pepper" "movie:comedy" "seat:stool"
"nourishment:banana" "chair:furniture" "food:apple" "home:tree" "chair:furniture" "food:apple"
"girl:person" "artwork:sculpture" "garment:shirt" "dish:plate" "artwork:sculpture" "dish:plate"
"vegetable:spinach" "girl:person" "preservative:salt" "clothing:sock" "preservative:salt" "clothing:sock"
"artwork:sculpture" "cat:animal" "seat:chair" "sock:clothing" "seat:chair" "sock:clothing"
"meat:ham" "fuel:gasoline" "person:girl" "food:apple" "fuel:gasoline" "meat:ham"
"appliance:fridge" "utensil:spoon" "seat:stool" "instrument:violin" "appliance:fridge" "utensil:spoon"
"tool:screwdriver" "fork:utensil" "garment:skirt" "transportation:bus" "garment:skirt" "transportation:bus"
"tool:hammer" "fridge:appliance" "home:tree" "apple:food" "apple:food" "tool:hammer"
"fruit:apple" "chisel:tool" "shoe:sandal" "beverage:water" "shoe:sandal" "fruit:apple"
"animal:dog" "chair:furniture" "instrument:clarinet" "movie:comedy" "movie:comedy" "animal:dog"
"furniture:chair" "tool:chisel" "garment:shirt" "vessel:pot" "furniture:chair" "tool:chisel"
"lubricant:oil" "nourishment:banana" "clothing:shirt" "seasoning:pepper" "clothing:shirt" "lubricant:oil"
"chisel:tool" "instrument:clarinet" "tool:screwdriver" "chair:furniture" "chisel:tool" "instrument:clarinet"
"food:apple" "fruit:apple" "seat:chair" "garment:shirt" "seat:chair" "fruit:apple"
"home:tree" "furniture:chair" "fridge:appliance" "cat:animal" "furniture:chair" "cat:animal"
"transportation:bus" "person:girl" "clothing:sock" "nourishment:banana" "clothing:sock" "transportation:bus"
"dish:plate" "sock:clothing" "beverage:water" "utensil:spoon" "sock:clothing" "utensil:spoon"
"movie:comedy" "meat:ham" "fork:utensil" "seat:stool" "movie:comedy" "seat:stool"
"tool:chisel" "girl:person" "clothing:shirt" "apple:food" "apple:food" "clothing:shirt"
"appliance:fridge" "artwork:sculpture" "instrument:violin" "vegetable:spinach" "appliance:fridge" "artwork:sculpture"
"fuel:gasoline" "vessel:pot" "lubricant:oil" "shoe:sandal" "shoe:sandal" "fuel:gasoline"
"tool:hammer" "animal:dog" "seasoning:pepper" "preservative:salt" "animal:dog" "tool:hammer"
"garment:skirt" "tool:screwdriver" "seat:chair" "vessel:pot" "seat:chair" "garment:skirt"
"beverage:water" "fork:utensil" "garment:shirt" "food:apple" "food:apple" "fork:utensil"
"girl:person" "movie:comedy" "animal:dog" "shoe:sandal" "movie:comedy" "animal:dog"
"seat:stool" "clothing:shirt" "transportation:bus" "apple:food" "apple:food" "clothing:shirt"
"fuel:gasoline" "nourishment:banana" "chisel:tool" "appliance:fridge" "appliance:fridge" "chisel:tool"
"chair:furniture" "clothing:sock" "utensil:spoon" "seasoning:pepper" "utensil:spoon" "clothing:sock"
"tool:chisel" "person:girl" "artwork:sculpture" "garment:skirt" "artwork:sculpture" "tool:chisel"
"cat:animal" "tool:hammer" "instrument:clarinet" "instrument:violin" "tool:hammer" "cat:animal"
"preservative:salt" "fridge:appliance" "dish:plate" "vegetable:spinach" "preservative:salt" "vegetable:spinach"
"home:tree" "furniture:chair" "sock:clothing" "lubricant:oil" "furniture:chair" "sock:clothing"
"meat:ham" "fruit:apple" "fork:utensil" "home:tree" "fruit:apple" "meat:ham"
