"refinery:gas" "lyrics:songwriter" "books:scholar" "words:letters" "lyrics:songwriter" "books:scholar"
"teacher:students" "farmer:crops" "mansion:rooms" "house:residents" "mansion:rooms" "house:residents"
"doctor:degree" "librarian:books" "proprietor:employees" "mother:children" "proprietor:employees" "librarian:books"
"lawyer:clients" "homeowner:home" "musician:music" "expert:experience" "musician:music" "expert:experience"
"doctor:phd" "professor:students" "teacher:chalk" "mall:shops" "mall:shops" "professor:students"
"employee:job" "jug:milk" "homeowner:door" "bank:money" "bank:money" "employee:job"
"songwriter:lyrics" "gas:refinery" "baker:bread" "tree:bark" "tree:bark" "baker:bread"
"bird:feathers" "scholar:books" "students:teacher" "library:books" "scholar:books" "bird:feathers"
"garden:vegetables" "mammal:hair" "bee:beehive" "letters:words" "bee:beehive" "garden:vegetables"
"college:teachers" "bird:wings" "shrubs:roots" "vintner:wine" "bird:wings" "vintner:wine"
"investor:investments" "books:scholar" "teacher:students" "students:teacher" "investor:investments" "teacher:students"
"gas:refinery" "house:residents" "bird:feathers" "doctor:phd" "house:residents" "bird:feathers"
"words:letters" "doctor:degree" "vintner:wine" "proprietor:employees" "proprietor:employees" "vintner:wine"
"scholar:books" "tree:bark" "garden:vegetables" "farmer:crops" "tree:bark" "scholar:books"
"bank:money" "lyrics:songwriter" "librarian:books" "bird:wings" "bank:money" "bird:wings"
"investor:investments" "musician:music" "mammal:hair" "college:teachers" "musician:music" "investor:investments"
"mall:shops" "jug:milk" "baker:bread" "refinery:gas" "baker:bread" "mall:shops"
"mother:children" "homeowner:door" "library:books" "teacher:chalk" "library:books" "homeowner:door"
"mansion:rooms" "homeowner:home" "shrubs:roots" "bee:beehive" "mansion:rooms" "shrubs:roots"
"employee:job" "expert:experience" "professor:students" "songwriter:lyrics" "employee:job" "expert:experience"
"lawyer:clients" "letters:words" "lyrics:songwriter" "homeowner:door" "lawyer:clients" "homeowner:door"
"professor:students" "mother:children" "bird:wings" "gas:refinery" "bird:wings" "professor:students"
"students:teacher" "librarian:books" "shrubs:roots" "house:residents" "shrubs:roots" "house:residents"
"mall:shops" "refinery:gas" "bird:feathers" "bee:beehive" "bird:feathers" "bee:beehive"
"songwriter:lyrics" "scholar:books" "expert:experience" "mammal:hair" "scholar:books" "expert:experience"
"lawyer:clients" "teacher:chalk" "proprietor:employees" "employee:job" "proprietor:employees" "employee:job"
"garden:vegetables" "teacher:students" "baker:bread" "doctor:phd" "baker:bread" "teacher:students"
"investor:investments" "letters:words" "words:letters" "college:teachers" "investor:investments" "letters:words"
"vintner:wine" "jug:milk" "mansion:rooms" "doctor:degree" "mansion:rooms" "vintner:wine"
"tree:bark" "books:scholar" "musician:music" "homeowner:home" "musician:music" "tree:bark"
"farmer:crops" "library:books" "bank:money" "garden:vegetables" "bank:money" "library:books"
"college:teachers" "books:scholar" "musician:music" "doctor:degree" "musician:music" "doctor:degree"
"baker:bread" "mother:children" "teacher:chalk" "vintner:wine" "baker:bread" "vintner:wine"
"bank:money" "house:residents" "lyrics:songwriter" "employee:job" "bank:money" "employee:job"
"proprietor:employees" "investor:investments" "students:teacher" "lawyer:clients" "proprietor:employees" "investor:investments"
"library:books" "mansion:rooms" "gas:refinery" "professor:students" "mansion:rooms" "professor:students"
"teacher:students" "farmer:crops" "homeowner:door" "shrubs:roots" "shrubs:roots" "teacher:students"
"mall:shops" "bird:wings" "librarian:books" "mammal:hair" "bird:wings" "librarian:books"
"doctor:phd" "refinery:gas" "expert:experience" "bee:beehive" "expert:experience" "bee:beehive"
"songwriter:lyrics" "bird:feathers" "letters:words" "homeowner:home" "bird:feathers" "homeowner:home"
"jug:milk" "tree:bark" "words:letters" "scholar:books" "tree:bark" "scholar:books"
"lyrics:songwriter" "bird:feathers" "college:teachers" "gas:refinery" "bird:feathers" "lyrics:songwriter"
"musician:music" "mansion:rooms" "doctor:phd" "students:teacher" "mansion:rooms" "musician:music"
"letters:words" "farmer:crops" "jug:milk" "words:letters" "jug:milk" "letters:words"
"proprietor:employees" "vintner:wine" "lawyer:clients" "bee:beehive" "proprietor:employees" "vintner:wine"
"library:books" "garden:vegetables" "tree:bark" "mammal:hair" "tree:bark" "library:books"
"employee:job" "doctor:degree" "songwriter:lyrics" "scholar:books" "scholar:books" "employee:job"
"professor:students" "expert:experience" "mother:children" "books:scholar" "expert:experience" "professor:students"
"bank:money" "teacher:chalk" "shrubs:roots" "teacher:students" "bank:money" "shrubs:roots"
"baker:bread" "homeowner:home" "homeowner:door" "bird:wings" "bird:wings" "baker:bread"
"mall:shops" "refinery:gas" "librarian:books" "house:residents" "house:residents" "librarian:books"
"investor:investments" "teacher:chalk" "bird:feathers" "garden:vegetables" "bird:feathers" "investor:investments"
"students:teacher" "words:letters" "refinery:gas" "gas:refinery" "students:teacher" "refinery:gas"
"expert:experience" "librarian:books" "mansion:rooms" "vintner:wine" "mansion:rooms" "vintner:wine"
"farmer:crops" "scholar:books" "homeowner:home" "tree:bark" "tree:bark" "scholar:books"
"employee:job" "letters:words" "bird:wings" "mammal:hair" "bird:wings" "employee:job"
"teacher:students" "professor:students" "house:residents" "investor:investments" "house:residents" "investor:investments"
"mall:shops" "songwriter:lyrics" "proprietor:employees" "bank:money" "proprietor:employees" "bank:money"
"college:teachers" "mother:children" "baker:bread" "lawyer:clients" "baker:bread" "lawyer:clients"
"shrubs:roots" "jug:milk" "musician:music" "lyrics:songwriter" "musician:music" "shrubs:roots"
"library:books" "bee:beehive" "books:scholar" "doctor:degree" "bee:beehive" "doctor:degree"
