"grieving:mourning" "tired:exhaustion" "peace:magnanimous" "ignorant:bliss" "ignorant:bliss" "tired:exhaustion"
"happy:contentment" "laughing:amusement" "morose:sadness" "crying:sadness" "morose:sadness" "laughing:amusement"
"sad:depression" "shaking:fear" "habitual:routine" "emotional:turmoil" "sad:depression" "shaking:fear"
"thoughtful:contemplation" "illogical:confusion" "determined:certainty" "giddy:happiness" "illogical:confusion" "giddy:happiness"
"brittle:bones" "parched:thirstiness" "lazy:indolence" "lovable:attitude" "parched:thirstiness" "brittle:bones"
"cold:frigid" "angry:belligerence" "anger:yelling" "angry:furious" "anger:yelling" "angry:furious"
"drunk:intoxication" "sad:depressed" "curious:investigation" "messy:disarray" "sad:depressed" "messy:disarray"
"incompetent:disaster" "nutritious:vegetables" "starving:hunger" "ecstatic:joyful" "ecstatic:joyful" "incompetent:disaster"
"yelling:anger" "magnanimous:peace" "contentment:happy" "cramps:aching" "yelling:anger" "cramps:aching"
"joyful:ecstatic" "fastidious:perturbation" "pensive:thought" "pedantic:reading" "pensive:thought" "pedantic:reading"
"mad:anger" "frigid:cold" "lethargic:fatigue" "provocative:controversy" "lethargic:fatigue" "frigid:cold"
"determined:certainty" "lovable:attitude" "illogical:confusion" "laughing:amusement" "laughing:amusement" "illogical:confusion"
"drunk:intoxication" "angry:furious" "pedantic:reading" "lazy:indolence" "angry:furious" "lazy:indolence"
"ignorant:bliss" "shaking:fear" "brittle:bones" "cold:frigid" "brittle:bones" "shaking:fear"
"habitual:routine" "angry:belligerence" "pensive:thought" "ecstatic:joyful" "ecstatic:joyful" "pensive:thought"
"nutritious:vegetables" "peace:magnanimous" "fastidious:perturbation" "emotional:turmoil" "nutritious:vegetables" "emotional:turmoil"
"happy:contentment" "contentment:happy" "grieving:mourning" "sad:depression" "sad:depression" "happy:contentment"
"joyful:ecstatic" "frigid:cold" "giddy:happiness" "sad:depressed" "giddy:happiness" "sad:depressed"
"tired:exhaustion" "thoughtful:contemplation" "parched:thirstiness" "starving:hunger" "parched:thirstiness" "starving:hunger"
"anger:yelling" "mad:anger" "messy:disarray" "crying:sadness" "anger:yelling" "messy:disarray"
"incompetent:disaster" "cramps:aching" "yelling:anger" "magnanimous:peace" "incompetent:disaster" "yelling:anger"
"lethargic:fatigue" "morose:sadness" "provocative:controversy" "curious:investigation" "lethargic:fatigue" "morose:sadness"
"cramps:aching" "laughing:amusement" "peace:magnanimous" "angry:belligerence" "laughing:amusement" "cramps:aching"
