"refinery:gas" "lyrics:songwriter" "books:scholar" "words:letters" "lyrics:songwriter" "books:scholar"
"teacher:students" "farmer:crops" "mansion:rooms" "house:residents" "farmer:crops" "teacher:students"
"doctor:degree" "librarian:books" "proprietor:employees" "mother:children" "proprietor:employees" "doctor:degree"
"lawyer:clients" "homeowner:home" "musician:music" "expert:experience" "musician:music" "expert:experience"
"doctor:phd" "professor:students" "teacher:chalk" "mall:shops" "mall:shops" "professor:students"
"employee:job" "jug:milk" "homeowner:door" "bank:money" "bank:money" "employee:job"
"songwriter:lyrics" "gas:refinery" "baker:bread" "tree:bark" "tree:bark" "baker:bread"
"bird:feathers" "scholar:books" "students:teacher" "library:books" "scholar:books" "library:books"
"garden:vegetables" "mammal:hair" "bee:beehive" "letters:words" "letters:words" "garden:vegetables"
"college:teachers" "bird:wings" "shrubs:roots" "vintner:wine" "bird:wings" "vintner:wine"
"investor:investments" "books:scholar" "teacher:students" "students:teacher" "teacher:students" "investor:investments"
"gas:refinery" "house:residents" "bird:feathers" "doctor:phd" "house:residents" "gas:refinery"
"words:letters" "doctor:degree" "vintner:wine" "proprietor:employees" "vintner:wine" "proprietor:employees"
"scholar:books" "tree:bark" "garden:vegetables" "farmer:crops" "scholar:books" "farmer:crops"
"bank:money" "lyrics:songwriter" "librarian:books" "bird:wings" "bird:wings" "bank:money"
"investor:investments" "musician:music" "mammal:hair" "college:teachers" "musician:music" "investor:investments"
"mall:shops" "jug:milk" "baker:bread" "refinery:gas" "mall:shops" "baker:bread"
"mother:children" "homeowner:door" "library:books" "teacher:chalk" "library:books" "homeowner:door"
"mansion:rooms" "homeowner:home" "shrubs:roots" "bee:beehive" "mansion:rooms" "bee:beehive"
"employee:job" "expert:experience" "professor:students" "songwriter:lyrics" "employee:job" "expert:experience"
"lawyer:clients" "letters:words" "lyrics:songwriter" "homeowner:door" "letters:words" "lawyer:clients"
"professor:students" "mother:children" "bird:wings" "gas:refinery" "bird:wings" "professor:students"
"students:teacher" "librarian:books" "shrubs:roots" "house:residents" "shrubs:roots" "house:residents"
"mall:shops" "refinery:gas" "bird:feathers" "bee:beehive" "mall:shops" "bee:beehive"
"songwriter:lyrics" "scholar:books" "expert:experience" "mammal:hair" "scholar:books" "expert:experience"
"lawyer:clients" "teacher:chalk" "proprietor:employees" "employee:job" "proprietor:employees" "employee:job"
"garden:vegetables" "teacher:students" "baker:bread" "doctor:phd" "teacher:students" "garden:vegetables"
"investor:investments" "letters:words" "words:letters" "college:teachers" "letters:words" "investor:investments"
"vintner:wine" "jug:milk" "mansion:rooms" "doctor:degree" "vintner:wine" "mansion:rooms"
"tree:bark" "books:scholar" "musician:music" "homeowner:home" "musician:music" "tree:bark"
"farmer:crops" "library:books" "bank:money" "garden:vegetables" "farmer:crops" "bank:money"
"college:teachers" "books:scholar" "musician:music" "doctor:degree" "musician:music" "college:teachers"
"baker:bread" "mother:children" "teacher:chalk" "vintner:wine" "vintner:wine" "baker:bread"
"bank:money" "house:residents" "lyrics:songwriter" "employee:job" "bank:money" "employee:job"
"proprietor:employees" "investor:investments" "students:teacher" "lawyer:clients" "proprietor:employees" "investor:investments"
"library:books" "mansion:rooms" "gas:refinery" "professor:students" "mansion:rooms" "professor:students"
"teacher:students" "farmer:crops" "homeowner:door" "shrubs:roots" "farmer:crops" "teacher:students"
"mall:shops" "bird:wings" "librarian:books" "mammal:hair" "bird:wings" "mall:shops"
"doctor:phd" "refinery:gas" "expert:experience" "bee:beehive" "expert:experience" "bee:beehive"
"songwriter:lyrics" "bird:feathers" "letters:words" "homeowner:home" "letters:words" "homeowner:home"
"jug:milk" "tree:bark" "words:letters" "scholar:books" "scholar:books" "tree:bark"
"lyrics:songwriter" "bird:feathers" "college:teachers" "gas:refinery" "college:teachers" "lyrics:songwriter"
"musician:music" "mansion:rooms" "doctor:phd" "students:teacher" "musician:music" "mansion:rooms"
"letters:words" "farmer:crops" "jug:milk" "words:letters" "letters:words" "farmer:crops"
"proprietor:employees" "vintner:wine" "lawyer:clients" "bee:beehive" "vintner:wine" "proprietor:employees"
"library:books" "garden:vegetables" "tree:bark" "mammal:hair" "tree:bark" "garden:vegetables"
"employee:job" "doctor:degree" "songwriter:lyrics" "scholar:books" "scholar:books" "employee:job"
"professor:students" "expert:experience" "mother:children" "books:scholar" "expert:experience" "professor:students"
"bank:money" "teacher:chalk" "shrubs:roots" "teacher:students" "bank:money" "teacher:students"
"baker:bread" "homeowner:home" "homeowner:door" "bird:wings" "bird:wings" "baker:bread"
"mall:shops" "refinery:gas" "librarian:books" "house:residents" "mall:shops" "house:residents"
"investor:investments" "teacher:chalk" "bird:feathers" "garden:vegetables" "garden:vegetables" "investor:investments"
"students:teacher" "words:letters" "refinery:gas" "gas:refinery" "students:teacher" "refinery:gas"
"expert:experience" "librarian:books" "mansion:rooms" "vintner:wine" "vintner:wine" "mansion:rooms"
"farmer:crops" "scholar:books" "homeowner:home" "tree:bark" "scholar:books" "farmer:crops"
"employee:job" "letters:words" "bird:wings" "mammal:hair" "letters:words" "bird:wings"
"teacher:students" "professor:students" "house:residents" "investor:investments" "teacher:students" "investor:investments"
"mall:shops" "songwriter:lyrics" "proprietor:employees" "bank:money" "bank:money" "mall:shops"
"college:teachers" "mother:children" "baker:bread" "lawyer:clients" "baker:bread" "college:teachers"
"shrubs:roots" "jug:milk" "musician:music" "lyrics:songwriter" "musician:music" "shrubs:roots"
"library:books" "bee:beehive" "books:scholar" "doctor:degree" "bee:beehive" "doctor:degree"
"doctor:phd" "homeowner:door" "mansion:rooms" "songwriter:lyrics" "mansion:rooms" "homeowner:door"
"homeowner:door" "garden:vegetables" "farmer:crops" "employee:job" "farmer:crops" "garden:vegetables"
"students:teacher" "teacher:chalk" "musician:music" "jug:milk" "musician:music" "jug:milk"
"gas:refinery" "homeowner:home" "scholar:books" "books:scholar" "scholar:books" "homeowner:home"
"expert:experience" "baker:bread" "mother:children" "lawyer:clients" "baker:bread" "expert:experience"
"bank:money" "doctor:degree" "professor:students" "doctor:phd" "bank:money" "professor:students"
"college:teachers" "librarian:books" "bird:feathers" "mammal:hair" "college:teachers" "librarian:books"
"mall:shops" "letters:words" "house:residents" "tree:bark" "letters:words" "mall:shops"
"vintner:wine" "refinery:gas" "library:books" "bird:wings" "bird:wings" "vintner:wine"
"shrubs:roots" "investor:investments" "teacher:students" "words:letters" "teacher:students" "investor:investments"
"bee:beehive" "lyrics:songwriter" "proprietor:employees" "jug:milk" "proprietor:employees" "bee:beehive"
"house:residents" "college:teachers" "proprietor:employees" "tree:bark" "tree:bark" "proprietor:employees"
"teacher:students" "bird:wings" "refinery:gas" "songwriter:lyrics" "bird:wings" "teacher:students"
"expert:experience" "teacher:chalk" "mall:shops" "scholar:books" "scholar:books" "mall:shops"
"professor:students" "shrubs:roots" "lawyer:clients" "books:scholar" "shrubs:roots" "professor:students"
"garden:vegetables" "students:teacher" "mother:children" "doctor:phd" "garden:vegetables" "students:teacher"
"gas:refinery" "vintner:wine" "library:books" "bee:beehive" "vintner:wine" "bee:beehive"
"bird:feathers" "librarian:books" "mansion:rooms" "musician:music" "musician:music" "mansion:rooms"
"lyrics:songwriter" "farmer:crops" "words:letters" "baker:bread" "farmer:crops" "baker:bread"
"doctor:degree" "bank:money" "investor:investments" "employee:job" "bank:money" "investor:investments"
"mammal:hair" "letters:words" "homeowner:home" "homeowner:door" "letters:words" "homeowner:home"
"farmer:crops" "bird:feathers" "students:teacher" "scholar:books" "scholar:books" "farmer:crops"
"songwriter:lyrics" "college:teachers" "teacher:students" "doctor:phd" "teacher:students" "college:teachers"
"house:residents" "bee:beehive" "lyrics:songwriter" "mall:shops" "mall:shops" "bee:beehive"
"refinery:gas" "garden:vegetables" "homeowner:home" "shrubs:roots" "garden:vegetables" "homeowner:home"
"librarian:books" "professor:students" "homeowner:door" "baker:bread" "baker:bread" "professor:students"
