"foot:inch" "air:puff" "page:paragraph" "pie:slices" "pie:slices" "page:paragraph"
"scene:movie" "feet:inches" "instant:nanosecond" "poem:verses" "feet:inches" "poem:verses"
"pound:ounce" "soup:spoonful" "state:county" "gallon:quart" "pound:ounce" "state:county"
"week:day" "school:student" "day:week" "thread:snip" "week:day" "school:student"
"dollar:coins" "seconds:hour" "chain:link" "earthworm:segment" "seconds:hour" "chain:link"
"book:chapter" "hour:seconds" "symphony:movements" "cake:slice" "book:chapter" "symphony:movements"
"body:cell" "book:chapters" "hive:bee" "book:pages" "body:cell" "book:pages"
"pizza:slice" "cloth:fibers" "country:city" "blood:droplets" "country:city" "blood:droplets"
"chapter:page" "cell:body" "droplets:blood" "movie:scene" "droplets:blood" "movie:scene"
"book:page" "quarter:pennies" "song:notes" "gallon:ounce" "quarter:pennies" "book:page"
"forest:tree" "train:car" "quilt:squares" "school:student" "quilt:squares" "school:student"
"symphony:movements" "gallon:quart" "gallon:ounce" "chain:link" "symphony:movements" "gallon:ounce"
"pizza:slice" "cloth:fibers" "instant:nanosecond" "pound:ounce" "pound:ounce" "instant:nanosecond"
"train:car" "hive:bee" "book:chapter" "pie:slices" "book:chapter" "pie:slices"
"hour:seconds" "body:cell" "cake:slice" "day:week" "body:cell" "day:week"
"foot:inch" "thread:snip" "air:puff" "book:chapters" "thread:snip" "air:puff"
"earthworm:segment" "cell:body" "chapter:page" "blood:droplets" "blood:droplets" "chapter:page"
"feet:inches" "dollar:coins" "droplets:blood" "seconds:hour" "feet:inches" "droplets:blood"
"page:paragraph" "book:pages" "country:city" "forest:tree" "book:pages" "country:city"
"movie:scene" "scene:movie" "poem:verses" "state:county" "movie:scene" "poem:verses"
"book:page" "week:day" "soup:spoonful" "quarter:pennies" "quarter:pennies" "book:page"
"song:notes" "quilt:squares" "pound:ounce" "body:cell" "quilt:squares" "body:cell"
"chain:link" "song:notes" "droplets:blood" "book:chapter" "book:chapter" "song:notes"
"air:puff" "gallon:ounce" "dollar:coins" "earthworm:segment" "gallon:ounce" "dollar:coins"
"thread:snip" "quilt:squares" "chapter:page" "hour:seconds" "quilt:squares" "chapter:page"
"cake:slice" "state:county" "instant:nanosecond" "page:paragraph" "state:county" "page:paragraph"
"gallon:quart" "hive:bee" "foot:inch" "country:city" "country:city" "gallon:quart"
"book:chapters" "scene:movie" "cloth:fibers" "pie:slices" "scene:movie" "pie:slices"
"day:week" "feet:inches" "soup:spoonful" "book:pages" "feet:inches" "book:pages"
"blood:droplets" "forest:tree" "quarter:pennies" "movie:scene" "quarter:pennies" "movie:scene"
"week:day" "cell:body" "pizza:slice" "train:car" "week:day" "cell:body"
"book:page" "school:student" "symphony:movements" "poem:verses" "symphony:movements" "book:page"
"seconds:hour" "hive:bee" "state:county" "earthworm:segment" "seconds:hour" "state:county"
"dollar:coins" "book:page" "cake:slice" "hour:seconds" "book:page" "dollar:coins"
"school:student" "gallon:quart" "book:pages" "foot:inch" "book:pages" "school:student"
"cloth:fibers" "movie:scene" "train:car" "droplets:blood" "droplets:blood" "movie:scene"
"blood:droplets" "country:city" "pie:slices" "thread:snip" "country:city" "blood:droplets"
"air:puff" "quarter:pennies" "soup:spoonful" "week:day" "quarter:pennies" "week:day"
"cell:body" "chain:link" "feet:inches" "gallon:ounce" "feet:inches" "gallon:ounce"
"page:paragraph" "chapter:page" "scene:movie" "seconds:hour" "seconds:hour" "chapter:page"
"pound:ounce" "forest:tree" "book:chapter" "symphony:movements" "book:chapter" "symphony:movements"
"body:cell" "quilt:squares" "poem:verses" "instant:nanosecond" "quilt:squares" "body:cell"
"song:notes" "day:week" "pizza:slice" "book:chapters" "song:notes" "day:week"
"week:day" "movie:scene" "pound:ounce" "feet:inches" "feet:inches" "movie:scene"
"cloth:fibers" "train:car" "earthworm:segment" "gallon:quart" "cloth:fibers" "train:car"
"droplets:blood" "book:page" "soup:spoonful" "dollar:coins" "book:page" "droplets:blood"
"instant:nanosecond" "pizza:slice" "body:cell" "foot:inch" "body:cell" "instant:nanosecond"
"cake:slice" "chapter:page" "chain:link" "forest:tree" "chapter:page" "chain:link"
"book:pages" "pie:slices" "gallon:ounce" "cell:body" "book:pages" "gallon:ounce"
"seconds:hour" "state:county" "thread:snip" "country:city" "seconds:hour" "country:city"
"air:puff" "book:chapter" "scene:movie" "book:chapters" "book:chapter" "scene:movie"
"school:student" "blood:droplets" "poem:verses" "song:notes" "song:notes" "poem:verses"
"day:week" "hour:seconds" "page:paragraph" "symphony:movements" "symphony:movements" "day:week"
"quilt:squares" "hive:bee" "quarter:pennies" "state:county" "quilt:squares" "quarter:pennies"
"gallon:ounce" "pizza:slice" "cloth:fibers" "gallon:quart" "gallon:ounce" "cloth:fibers"
"book:pages" "day:week" "pound:ounce" "body:cell" "body:cell" "book:pages"
"quilt:squares" "chain:link" "foot:inch" "hive:bee" "quilt:squares" "chain:link"
"cell:body" "train:car" "feet:inches" "air:puff" "feet:inches" "cell:body"
"forest:tree" "book:chapter" "scene:movie" "instant:nanosecond" "book:chapter" "scene:movie"
"quarter:pennies" "symphony:movements" "thread:snip" "earthworm:segment" "quarter:pennies" "symphony:movements"
"song:notes" "page:paragraph" "soup:spoonful" "movie:scene" "song:notes" "movie:scene"
"book:page" "school:student" "hour:seconds" "poem:verses" "book:page" "poem:verses"
"dollar:coins" "country:city" "week:day" "blood:droplets" "country:city" "week:day"
"cake:slice" "seconds:hour" "chapter:page" "droplets:blood" "droplets:blood" "seconds:hour"
"book:chapters" "pie:slices" "hive:bee" "blood:droplets" "blood:droplets" "pie:slices"
"week:day" "book:pages" "cake:slice" "country:city" "book:pages" "country:city"
"hour:seconds" "quilt:squares" "pizza:slice" "quarter:pennies" "quilt:squares" "quarter:pennies"
"body:cell" "gallon:quart" "scene:movie" "droplets:blood" "body:cell" "droplets:blood"
"book:chapters" "dollar:coins" "book:chapter" "school:student" "book:chapter" "school:student"
"song:notes" "earthworm:segment" "cloth:fibers" "thread:snip" "song:notes" "cloth:fibers"
"air:puff" "state:county" "day:week" "page:paragraph" "state:county" "day:week"
"symphony:movements" "movie:scene" "feet:inches" "cell:body" "feet:inches" "symphony:movements"
"chapter:page" "chain:link" "foot:inch" "book:page" "book:page" "chapter:page"
"seconds:hour" "forest:tree" "instant:nanosecond" "soup:spoonful" "seconds:hour" "instant:nanosecond"
"poem:verses" "pound:ounce" "train:car" "gallon:ounce" "gallon:ounce" "poem:verses"
"pie:slices" "feet:inches" "dollar:coins" "quarter:pennies" "feet:inches" "quarter:pennies"
"soup:spoonful" "book:pages" "cake:slice" "scene:movie" "book:pages" "scene:movie"
"gallon:ounce" "droplets:blood" "country:city" "foot:inch" "gallon:ounce" "droplets:blood"
"pizza:slice" "instant:nanosecond" "book:chapters" "cell:body" "instant:nanosecond" "cell:body"
"week:day" "book:page" "quilt:squares" "forest:tree" "quilt:squares" "book:page"
"chapter:page" "train:car" "hour:seconds" "book:chapter" "book:chapter" "chapter:page"
"thread:snip" "gallon:quart" "song:notes" "day:week" "song:notes" "day:week"
"cloth:fibers" "page:paragraph" "chain:link" "body:cell" "body:cell" "chain:link"
"hive:bee" "blood:droplets" "earthworm:segment" "state:county" "blood:droplets" "state:county"
"seconds:hour" "school:student" "pound:ounce" "symphony:movements" "symphony:movements" "seconds:hour"
"poem:verses" "movie:scene" "air:puff" "pie:slices" "movie:scene" "poem:verses"
"blood:droplets" "chain:link" "soup:spoonful" "book:chapter" "book:chapter" "blood:droplets"
"feet:inches" "book:pages" "earthworm:segment" "song:notes" "feet:inches" "book:pages"
"cell:body" "symphony:movements" "forest:tree" "quilt:squares" "quilt:squares" "symphony:movements"
"state:county" "poem:verses" "school:student" "droplets:blood" "droplets:blood" "poem:verses"
"body:cell" "week:day" "gallon:quart" "seconds:hour" "body:cell" "seconds:hour"
"train:car" "book:chapters" "chapter:page" "page:paragraph" "chapter:page" "page:paragraph"
"pound:ounce" "day:week" "book:page" "hour:seconds" "book:page" "pound:ounce"
"pie:slices" "movie:scene" "gallon:ounce" "foot:inch" "gallon:ounce" "movie:scene"
"air:puff" "country:city" "cloth:fibers" "cake:slice" "country:city" "cloth:fibers"
"thread:snip" "dollar:coins" "quarter:pennies" "instant:nanosecond" "quarter:pennies" "instant:nanosecond"
"hive:bee" "pizza:slice" "scene:movie" "feet:inches" "feet:inches" "scene:movie"
"song:notes" "country:city" "earthworm:segment" "instant:nanosecond" "song:notes" "country:city"
