"foot:inch" "air:puff" "page:paragraph" "pie:slices" "page:paragraph" "air:puff"
"scene:movie" "feet:inches" "instant:nanosecond" "poem:verses" "scene:movie" "feet:inches"
"pound:ounce" "soup:spoonful" "state:county" "gallon:quart" "state:county" "pound:ounce"
"week:day" "school:student" "day:week" "thread:snip" "week:day" "school:student"
"dollar:coins" "seconds:hour" "chain:link" "earthworm:segment" "chain:link" "seconds:hour"
"book:chapter" "hour:seconds" "symphony:movements" "cake:slice" "book:chapter" "hour:seconds"
"body:cell" "book:chapters" "hive:bee" "book:pages" "body:cell" "book:chapters"
"pizza:slice" "cloth:fibers" "country:city" "blood:droplets" "cloth:fibers" "country:city"
"chapter:page" "cell:body" "droplets:blood" "movie:scene" "movie:scene" "chapter:page"
"book:page" "quarter:pennies" "song:notes" "gallon:ounce" "book:page" "gallon:ounce"
"forest:tree" "train:car" "quilt:squares" "school:student" "quilt:squares" "school:student"
"symphony:movements" "gallon:quart" "gallon:ounce" "chain:link" "gallon:ounce" "chain:link"
"pizza:slice" "cloth:fibers" "instant:nanosecond" "pound:ounce" "cloth:fibers" "pound:ounce"
"train:car" "hive:bee" "book:chapter" "pie:slices" "book:chapter" "train:car"
"hour:seconds" "body:cell" "cake:slice" "day:week" "body:cell" "day:week"
"foot:inch" "thread:snip" "air:puff" "book:chapters" "book:chapters" "thread:snip"
"earthworm:segment" "cell:body" "chapter:page" "blood:droplets" "blood:droplets" "chapter:page"
"feet:inches" "dollar:coins" "droplets:blood" "seconds:hour" "seconds:hour" "dollar:coins"
"page:paragraph" "book:pages" "country:city" "forest:tree" "country:city" "page:paragraph"
"movie:scene" "scene:movie" "poem:verses" "state:county" "movie:scene" "scene:movie"
"book:page" "week:day" "soup:spoonful" "quarter:pennies" "book:page" "week:day"
"song:notes" "quilt:squares" "pound:ounce" "body:cell" "quilt:squares" "body:cell"
"chain:link" "song:notes" "droplets:blood" "book:chapter" "book:chapter" "chain:link"
"air:puff" "gallon:ounce" "dollar:coins" "earthworm:segment" "gallon:ounce" "earthworm:segment"
"thread:snip" "quilt:squares" "chapter:page" "hour:seconds" "quilt:squares" "chapter:page"
"cake:slice" "state:county" "instant:nanosecond" "page:paragraph" "state:county" "page:paragraph"
"gallon:quart" "hive:bee" "foot:inch" "country:city" "country:city" "gallon:quart"
"book:chapters" "scene:movie" "cloth:fibers" "pie:slices" "cloth:fibers" "book:chapters"
"day:week" "feet:inches" "soup:spoonful" "book:pages" "day:week" "soup:spoonful"
"blood:droplets" "forest:tree" "quarter:pennies" "movie:scene" "movie:scene" "blood:droplets"
"week:day" "cell:body" "pizza:slice" "train:car" "week:day" "cell:body"
"book:page" "school:student" "symphony:movements" "poem:verses" "book:page" "school:student"
"seconds:hour" "hive:bee" "state:county" "earthworm:segment" "state:county" "seconds:hour"
