"refinery:gas" "lyrics:songwriter" "books:scholar" "words:letters" "lyrics:songwriter" "books:scholar"
"teacher:students" "farmer:crops" "mansion:rooms" "house:residents" "farmer:crops" "teacher:students"
"doctor:degree" "librarian:books" "proprietor:employees" "mother:children" "librarian:books" "proprietor:employees"
"lawyer:clients" "homeowner:home" "musician:music" "expert:experience" "lawyer:clients" "musician:music"
"doctor:phd" "professor:students" "teacher:chalk" "mall:shops" "mall:shops" "teacher:chalk"
"employee:job" "jug:milk" "homeowner:door" "bank:money" "bank:money" "employee:job"
"songwriter:lyrics" "gas:refinery" "baker:bread" "tree:bark" "baker:bread" "tree:bark"
"bird:feathers" "scholar:books" "students:teacher" "library:books" "scholar:books" "students:teacher"
"garden:vegetables" "mammal:hair" "bee:beehive" "letters:words" "bee:beehive" "garden:vegetables"
"college:teachers" "bird:wings" "shrubs:roots" "vintner:wine" "college:teachers" "shrubs:roots"
"investor:investments" "books:scholar" "teacher:students" "students:teacher" "students:teacher" "teacher:students"
"gas:refinery" "house:residents" "bird:feathers" "doctor:phd" "bird:feathers" "house:residents"
"words:letters" "doctor:degree" "vintner:wine" "proprietor:employees" "vintner:wine" "proprietor:employees"
"scholar:books" "tree:bark" "garden:vegetables" "farmer:crops" "scholar:books" "tree:bark"
"bank:money" "lyrics:songwriter" "librarian:books" "bird:wings" "bank:money" "librarian:books"
"investor:investments" "musician:music" "mammal:hair" "college:teachers" "college:teachers" "musician:music"
"mall:shops" "jug:milk" "baker:bread" "refinery:gas" "baker:bread" "mall:shops"
"mother:children" "homeowner:door" "library:books" "teacher:chalk" "library:books" "homeowner:door"
"mansion:rooms" "homeowner:home" "shrubs:roots" "bee:beehive" "shrubs:roots" "homeowner:home"
"employee:job" "expert:experience" "professor:students" "songwriter:lyrics" "employee:job" "expert:experience"
"lawyer:clients" "letters:words" "lyrics:songwriter" "homeowner:door" "lawyer:clients" "lyrics:songwriter"
"professor:students" "mother:children" "bird:wings" "gas:refinery" "bird:wings" "mother:children"
"students:teacher" "librarian:books" "shrubs:roots" "house:residents" "students:teacher" "shrubs:roots"
"mall:shops" "refinery:gas" "bird:feathers" "bee:beehive" "mall:shops" "bee:beehive"
"songwriter:lyrics" "scholar:books" "expert:experience" "mammal:hair" "scholar:books" "expert:experience"
"lawyer:clients" "teacher:chalk" "proprietor:employees" "employee:job" "lawyer:clients" "employee:job"
"garden:vegetables" "teacher:students" "baker:bread" "doctor:phd" "baker:bread" "teacher:students"
"investor:investments" "letters:words" "words:letters" "college:teachers" "college:teachers" "letters:words"
"vintner:wine" "jug:milk" "mansion:rooms" "doctor:degree" "vintner:wine" "doctor:degree"
"tree:bark" "books:scholar" "musician:music" "homeowner:home" "musician:music" "tree:bark"
"farmer:crops" "library:books" "bank:money" "garden:vegetables" "bank:money" "farmer:crops"
"college:teachers" "books:scholar" "musician:music" "doctor:degree" "college:teachers" "musician:music"
"baker:bread" "mother:children" "teacher:chalk" "vintner:wine" "baker:bread" "vintner:wine"
"bank:money" "house:residents" "lyrics:songwriter" "employee:job" "bank:money" "employee:job"
"proprietor:employees" "investor:investments" "students:teacher" "lawyer:clients" "lawyer:clients" "students:teacher"
"library:books" "mansion:rooms" "gas:refinery" "professor:students" "library:books" "professor:students"
"teacher:students" "farmer:crops" "homeowner:door" "shrubs:roots" "shrubs:roots" "farmer:crops"
"mall:shops" "bird:wings" "librarian:books" "mammal:hair" "mall:shops" "librarian:books"
"doctor:phd" "refinery:gas" "expert:experience" "bee:beehive" "expert:experience" "bee:beehive"
"songwriter:lyrics" "bird:feathers" "letters:words" "homeowner:home" "homeowner:home" "songwriter:lyrics"
"jug:milk" "tree:bark" "words:letters" "scholar:books" "scholar:books" "tree:bark"
"lyrics:songwriter" "bird:feathers" "college:teachers" "gas:refinery" "college:teachers" "lyrics:songwriter"
"musician:music" "mansion:rooms" "doctor:phd" "students:teacher" "students:teacher" "musician:music"
"letters:words" "farmer:crops" "jug:milk" "words:letters" "farmer:crops" "letters:words"
"proprietor:employees" "vintner:wine" "lawyer:clients" "bee:beehive" "lawyer:clients" "vintner:wine"
"library:books" "garden:vegetables" "tree:bark" "mammal:hair" "tree:bark" "garden:vegetables"
"employee:job" "doctor:degree" "songwriter:lyrics" "scholar:books" "scholar:books" "employee:job"
"professor:students" "expert:experience" "mother:children" "books:scholar" "expert:experience" "mother:children"
"bank:money" "teacher:chalk" "shrubs:roots" "teacher:students" "bank:money" "shrubs:roots"
"baker:bread" "homeowner:home" "homeowner:door" "bird:wings" "baker:bread" "homeowner:home"
"mall:shops" "refinery:gas" "librarian:books" "house:residents" "mall:shops" "librarian:books"
"investor:investments" "teacher:chalk" "bird:feathers" "garden:vegetables" "garden:vegetables" "bird:feathers"
"students:teacher" "words:letters" "refinery:gas" "gas:refinery" "students:teacher" "words:letters"
"expert:experience" "librarian:books" "mansion:rooms" "vintner:wine" "expert:experience" "librarian:books"
"farmer:crops" "scholar:books" "homeowner:home" "tree:bark" "scholar:books" "tree:bark"
"employee:job" "letters:words" "bird:wings" "mammal:hair" "employee:job" "bird:wings"
"teacher:students" "professor:students" "house:residents" "investor:investments" "teacher:students" "house:residents"
"mall:shops" "songwriter:lyrics" "proprietor:employees" "bank:money" "bank:money" "mall:shops"
"college:teachers" "mother:children" "baker:bread" "lawyer:clients" "lawyer:clients" "college:teachers"
"shrubs:roots" "jug:milk" "musician:music" "lyrics:songwriter" "musician:music" "shrubs:roots"
"library:books" "bee:beehive" "books:scholar" "doctor:degree" "bee:beehive" "library:books"
"doctor:phd" "homeowner:door" "mansion:rooms" "songwriter:lyrics" "songwriter:lyrics" "homeowner:door"
"homeowner:door" "garden:vegetables" "farmer:crops" "employee:job" "employee:job" "farmer:crops"
"students:teacher" "teacher:chalk" "musician:music" "jug:milk" "students:teacher" "musician:music"
"gas:refinery" "homeowner:home" "scholar:books" "books:scholar" "scholar:books" "homeowner:home"
"expert:experience" "baker:bread" "mother:children" "lawyer:clients" "lawyer:clients" "baker:bread"
"bank:money" "doctor:degree" "professor:students" "doctor:phd" "bank:money" "doctor:degree"
"college:teachers" "librarian:books" "bird:feathers" "mammal:hair" "college:teachers" "librarian:books"
