"refinery:gas" "lyrics:songwriter" "books:scholar" "words:letters" "lyrics:songwriter" "books:scholar"
"teacher:students" "farmer:crops" "mansion:rooms" "house:residents" "farmer:crops" "house:residents"
"doctor:degree" "librarian:books" "proprietor:employees" "mother:children" "librarian:books" "mother:children"
"lawyer:clients" "homeowner:home" "musician:music" "expert:experience" "musician:music" "expert:experience"
"doctor:phd" "professor:students" "teacher:chalk" "mall:shops" "professor:students" "teacher:chalk"
"employee:job" "jug:milk" "homeowner:door" "bank:money" "employee:job" "bank:money"
"songwriter:lyrics" "gas:refinery" "baker:bread" "tree:bark" "tree:bark" "baker:bread"
"bird:feathers" "scholar:books" "students:teacher" "library:books" "bird:feathers" "scholar:books"
"garden:vegetables" "mammal:hair" "bee:beehive" "letters:words" "garden:vegetables" "letters:words"
"college:teachers" "bird:wings" "shrubs:roots" "vintner:wine" "bird:wings" "vintner:wine"
"investor:investments" "books:scholar" "teacher:students" "students:teacher" "investor:investments" "teacher:students"
"gas:refinery" "house:residents" "bird:feathers" "doctor:phd" "bird:feathers" "house:residents"
"words:letters" "doctor:degree" "vintner:wine" "proprietor:employees" "vintner:wine" "doctor:degree"
"scholar:books" "tree:bark" "garden:vegetables" "farmer:crops" "garden:vegetables" "tree:bark"
"bank:money" "lyrics:songwriter" "librarian:books" "bird:wings" "librarian:books" "bird:wings"
"investor:investments" "musician:music" "mammal:hair" "college:teachers" "investor:investments" "musician:music"
"mall:shops" "jug:milk" "baker:bread" "refinery:gas" "baker:bread" "mall:shops"
"mother:children" "homeowner:door" "library:books" "teacher:chalk" "mother:children" "homeowner:door"
"mansion:rooms" "homeowner:home" "shrubs:roots" "bee:beehive" "homeowner:home" "mansion:rooms"
"employee:job" "expert:experience" "professor:students" "songwriter:lyrics" "employee:job" "professor:students"
"lawyer:clients" "letters:words" "lyrics:songwriter" "homeowner:door" "letters:words" "homeowner:door"
"professor:students" "mother:children" "bird:wings" "gas:refinery" "bird:wings" "professor:students"
"students:teacher" "librarian:books" "shrubs:roots" "house:residents" "librarian:books" "house:residents"
"mall:shops" "refinery:gas" "bird:feathers" "bee:beehive" "bird:feathers" "bee:beehive"
"songwriter:lyrics" "scholar:books" "expert:experience" "mammal:hair" "expert:experience" "scholar:books"
"lawyer:clients" "teacher:chalk" "proprietor:employees" "employee:job" "employee:job" "teacher:chalk"
"garden:vegetables" "teacher:students" "baker:bread" "doctor:phd" "garden:vegetables" "baker:bread"
"investor:investments" "letters:words" "words:letters" "college:teachers" "investor:investments" "letters:words"
"vintner:wine" "jug:milk" "mansion:rooms" "doctor:degree" "vintner:wine" "mansion:rooms"
"tree:bark" "books:scholar" "musician:music" "homeowner:home" "tree:bark" "musician:music"
"farmer:crops" "library:books" "bank:money" "garden:vegetables" "garden:vegetables" "farmer:crops"
"college:teachers" "books:scholar" "musician:music" "doctor:degree" "musician:music" "doctor:degree"
"baker:bread" "mother:children" "teacher:chalk" "vintner:wine" "baker:bread" "vintner:wine"
"bank:money" "house:residents" "lyrics:songwriter" "employee:job" "employee:job" "bank:money"
"proprietor:employees" "investor:investments" "students:teacher" "lawyer:clients" "investor:investments" "lawyer:clients"
"library:books" "mansion:rooms" "gas:refinery" "professor:students" "professor:students" "mansion:rooms"
"teacher:students" "farmer:crops" "homeowner:door" "shrubs:roots" "farmer:crops" "homeowner:door"
"mall:shops" "bird:wings" "librarian:books" "mammal:hair" "librarian:books" "bird:wings"
"doctor:phd" "refinery:gas" "expert:experience" "bee:beehive" "expert:experience" "bee:beehive"
